2022-08-09
	[속보] "서울 폭우로 1명 사망…가로수 정리중 감전 추정" |  | https://www.joongang.co.kr/article/25092910
	이틀째 기록적 폭우로 수도권 '마비'‥9명 사망, 6명 실종 | 사회>사회일반 | https://imnews.imbc.com/replay/2022/nwdesk/article/6396664_35744.html

	SPC그룹, 집중호우 피해지역에 긴급 구호 물품 전달 |  | https://view.asiae.co.kr/article/2022080914571752641
	SPC그룹, ‘기록적 폭우’ 피해지역에 긴급 구호물품 전달 | 경제>유통 | https://www.donga.com/news/article/all/20220809/114879985/1
	SPC그룹, 집중호우 피해지역에 긴급 구호물품 전달 |  | http://www.fnnews.com/news/202208091531292015
	SPC그룹, 집중호우 피해지역에 구호품 전달 |  | http://www.sedaily.com/NewsView/269QD8W8DX

	국토부-LH, 수해지역 이재민에 '공공임대주택' 지원 방안 검토 | 정치>정치일반,사회>사회일반 | http://news.moneytoday.co.kr/view/mtview.php?no=2022080916584593844&type=2
	국토부·LH, 수해지역 이재민에 '긴급지원주택' 제공 검토 | 정치>정치일반 | http://www.sedaily.com/NewsView/269QCNM0TH
	국토부·LH “수해지역 이재민에 공공임대주택 지원 검토” | 정치>정치일반 | http://biz.heraldcorp.com/view.php?ud=20220809000844
	국토부 이재민에 임대주택 긴급지원…비상근무체계 돌입 | 지역>강원,지역>경남,지역>경기 | http://biz.heraldcorp.com/view.php?ud=20220809000846
	수해 이재민에 ‘LH 긴급지원주택’ 검토…6개월 단기임대 | 지역>경남,지역>전북,지역>강원 | http://www.hani.co.kr/arti/economy/economy_general/1054129.html

	현장서 항의받은 서울시장‥수해방지 예산도 '삭감' 논란 |  | https://imnews.imbc.com/replay/2022/nwdesk/article/6396636_35744.html

	주광덕 남양주시장, 휴가 첫날 복귀해 수해 현장 점검 | 지역>경남,지역>울산,지역>광주 | https://news.kmib.co.kr/article/view.asp?arcid=0017358153&code=61121111&cp=kd

2022-08-10
	주광덕 남양주시장 휴가 중 복귀해 수해 현장 점검 | 지역>광주,지역>경남,지역>경기 | http://www.segye.com/content/html/2022/08/09/20220809523147.html
	‘휴가반납’ 주광덕 남양주시장 수해복구 진두지휘 | 지역>광주,지역>경기,지역>경남 | http://www.fnnews.com/news/202208100631167508

	기록적 폭우에 초토화된 수도권… “비 더 온다는데” 시민들 한숨 |  | http://www.segye.com/content/html/2022/08/09/20220809521855.html
	한강 이남에 집중된 ‘물폭탄’에 속수무책… 도로 끊기고 전철 멈춰 곳곳 마비 | 정치>청와대,사회>사회일반 | http://www.segye.com/content/html/2022/08/09/20220809521844.html
	최호권 영등포 · 박일하 동작 · 박강수 마포구청장 등 침수 현장 속으로... | 지역>대전,지역>강원,지역>경남 | https://view.asiae.co.kr/article/2022081007050800241
	동작구, 기록적 폭우에 실시간 대응 ‘총력’ 3단계 비상근무 |  | http://go.seoul.co.kr/news/newsView.php?id=20220810500154

	누적 강수량 500mm 넘었다‥피해 상황은? | 사회>날씨 | https://imnews.imbc.com/replay/2022/nwtoday/article/6396727_35752.html
	누적 강수량 500mm 넘었다‥피해 상황은? | 사회>날씨 | https://imnews.imbc.com/replay/2022/nwtoday/article/6396758_35752.html

	항의받은 서울시장‥수해방지 예산 896억 깎여 |  | https://imnews.imbc.com/replay/2022/nwtoday/article/6396735_35752.html
	[앵커포커스] 물폭탄에 속수무책…수해 대책 다시 세워야 | 사회>사회일반 | http://www.obsnews.co.kr/news/articleView.html?idxno=1362553

	전국 철도·교통망 밤샘작업…국토부 "이재민 긴급지원주택" |  | https://view.asiae.co.kr/article/2022081007470363347
	원희룡 장관 "추가 피해 막아야"…24시간 긴급 대응반 운영 | 정치>정치일반,사회>사회일반 | http://news.moneytoday.co.kr/view/mtview.php?no=2022081009502483792&type=2
	국토부, 24시간 긴급 보고 시스템 운영…긴급주거지원반도 구성 | 정치>청와대 | https://www.hankyung.com/realestate/article/202208102468i

	현대차그룹, ‘수해 차량 특별지원 서비스’ 실시 | 경제>자동차 | https://view.asiae.co.kr/article/2022081008440406171
	침수차 고객 돕는 현대차그룹…수리비 50% 할인·렌터카 비용 절반 지원 | 경제>자동차,경제>금융_재테크 | http://www.sedaily.com/NewsView/269QSHZIEP
	현대차그룹 ‘수해 차량 특별지원 서비스’…연말까지 | 경제>자동차 | http://biz.heraldcorp.com/view.php?ud=20220810000113
	현대차그룹, 연말까지 ‘수해 차량 특별지원’ | 경제>자동차 | http://biz.heraldcorp.com/view.php?ud=20220810000450
	“침수차 수리비 최대 50% 할인하고 렌터카 지원”…車업체들 지원 서비스 강화 | 경제>자동차,경제>금융_재테크,경제>유통 | https://www.donga.com/news/article/all/20220810/114895446/1
